,Topic,Words,Frequency,Timestamp
0,3,"spent, fentanyl, felony, fig, federal",346,2011-01-01
1,7,"per, student, inmate, spend, costs",246,2012-01-01
2,10,"1920s, prohibition, govgaryjohnson, japaneseinternment, violation",225,2012-01-01
3,16,"ladygaga, controversial, warondr, smoking, think",195,2012-01-01
4,23,"drugwarmovie, never, drugs, state, propaganda",179,2012-01-01
5,28,"selling, painless, adriangrenier, drugs, money",163,2012-01-01
6,38,"risk, door, localisation, support, fatally",151,2012-01-01
7,40,"incredible, far, film, failed, theculturehigh",144,2012-01-01
8,48,"stretch, nickclegg, think, dont, breakthetaboo",138,2012-01-01
9,56,"jailed, largest, theaters, worlds, families",124,2012-01-01
10,57,"proof, legalizeit2012, colossalfailure, yeson502, antwerp",110,2012-01-01
11,88,"zzzquil, nyquil, sleep, abusing, dangerous",5,2012-01-01
12,-1,"dollars, tax, oliviawilde, arrests, marijuana",1,2013-01-01
13,5,"teachers, school, prisoners, drug, class",323,2013-01-01
14,14,"decriminalisation, petrous, work, doesn, stimulant",207,2013-01-01
15,16,"ladygaga, controversial, debate, smoking, marijuana",1,2013-01-01
16,18,"prisons, policies, drugwar, war, crime",191,2013-01-01
17,45,"global, issue, politicians, parties, join",2,2013-01-01
18,52,"broken, model, business, why, return",128,2013-01-01
19,57,"proof, legalizeit2012, colossalfailure, yeson502, antwerp",2,2013-01-01
20,62,"cards, henrique, explain, read, readbyrichard",107,2013-01-01
21,66,"bestoftheleft, prisons, stupid, racism, drugwar",64,2013-01-01
22,72,"henrique, fernando, must, cards, fingers",40,2013-01-01
23,-1,"themmexchange, marijuana, alcohol, vanished, regretted",33,2014-01-01
24,9,"billmaher, discuss, senrandpaul, can, policy",227,2014-01-01
25,13,"radical, majority, agree, agrees, reform",1,2014-01-01
26,35,"track, epicentre, mexico, back, felony",156,2014-01-01
27,36,"suffer, daughters, sons, names, faces",156,2014-01-01
28,40,"trailer, theculturehigh, incredible, film, new",5,2014-01-01
29,41,"language, change, way, end, use",146,2014-01-01
30,44,"kidnapping, extortion, jail, drug, alliee",140,2014-01-01
31,45,"politicians, parties, hope, join, will",138,2014-01-01
32,53,"failed, reform, policy, us, drug",129,2014-01-01
33,55,"taken, incarceration, needless, splinter, necessary",119,2014-01-01
34,57,"funlibertarian, waronterror, proof, legalizeit2012, antwerp",3,2014-01-01
35,58,"alexander, racial, america, prison, abolish",119,2014-01-01
36,59,"legalizemarijuana, drops, mintpressnews, marijuana, drugwar",120,2014-01-01
37,61,"safer, alcohol, marijuana, california, gateway",106,2014-01-01
38,63,"publichealth, jobs, racialjustice, education, drugwar",86,2014-01-01
39,70,"pabloescobar, druglord, djsethlowery, business, drugwar",50,2014-01-01
40,75,"publichealth, jobs, racialjustice, education, drugwar",27,2014-01-01
41,78,"theculturehigh, happen, advocated, starting, join",3,2014-01-01
42,79,"safer, florida, alcohol, marijuana, federal",19,2014-01-01
43,83,"legalizemarijuana, drops, legalized, marijuana, drugwar",13,2014-01-01
44,13,"reform, should, war, intellectual, fingers",200,2015-01-01
45,43,"supporters, stoptheharm, criminalisation, evidence, qualifiedimmunity",1,2015-01-01
46,45,"turnbullmalcolm, key, messages, pm, politicians",1,2015-01-01
47,55,"private, politics, incarceration, prison, political",1,2015-01-01
48,57,"theweedmann, tommychong, mjindustrynews, willienelson, legalizeit2012",1,2015-01-01
49,63,"publichealth, jobs, racialjustice, education, drugwar",12,2015-01-01
50,75,"publichealth, jobs, racialjustice, education, drugwar",3,2015-01-01
51,78,"advocated, happen, starting, called, shaunattwood",16,2015-01-01
52,8,"twitter, propaganda, drugwar, fhppalmbeach, few",235,2016-01-01
53,11,"harm, prevention, spent, education, should",224,2016-01-01
54,13,"ending, hillaryclinton, care, reform, criminal",1,2016-01-01
55,32,"redressing, wrongs, letting, pots, commuted",161,2016-01-01
56,45,"progress, parties, politicians, hope, happening",2,2016-01-01
57,52,"model, broken, business, decline, suffering",1,2016-01-01
58,55,"toll, criminalisation, incarceration, taken, bandage",1,2016-01-01
59,60,"reduction, harm, prevention, education, overdosecrisis",112,2016-01-01
60,61,"yeson2, safer, alcohol, marijuana, california",1,2016-01-01
61,70,"drugwar, pabloescobar, druglord, djsethlowery, business",1,2016-01-01
62,76,"yosemite, planecrash, smoking, fentanyl, fatal",23,2016-01-01
63,-1,"trendinaliapi, missuniverse, popssssmwah, smbythebayneon, order",25,2017-01-01
64,6,"lifepreservers, cbdivahealth, cannabiscommu, legalized, stop",1,2017-01-01
65,12,"assamsa, pa, problems, pagkatapos, shenanigan",1,2017-01-01
66,13,"care, reform, theskinsensei, teaching, learning",1,2017-01-01
67,21,"sole, humanbeing, scphpio, drug, mental",183,2017-01-01
68,23,"never, drugwarmovie, state, drugs, propaganda",1,2017-01-01
69,26,"guerracontralasdrogas, delincuenciaorganizada, le, lydiacachosi, de",158,2017-01-01
70,31,"colombian, crew, accounts, victims, abbymartin",162,2017-01-01
71,34,"nasadlak, waronpoor, guerre, binihag, duterte",155,2017-01-01
72,43,"qualifiedimmunity, policestate, supportthetro, do, crimes",1,2017-01-01
73,52,"failure, broken, model, business, flight",1,2017-01-01
74,55,"incarceration, resulting, splinter, jeffsessions, taken",1,2017-01-01
75,57,"endthestigma, its, yeson502, proof, legalizeit2012",1,2017-01-01
76,64,"ruling, smbythebayneon, popssssmwah, trendinaliapi, 5daystogo",94,2017-01-01
77,66,"bigpharma, opioidcrisis, stupid, prisons, policies",1,2017-01-01
78,77,"resist, movietvtechgeek, ovoid, realdonaldtrump, drugwar",24,2017-01-01
79,80,"drugpolicyorg, vicious, rachaellcook, 13thfilm, check",2,2017-01-01
80,87,"trendinaliapi, popssssmwah, smbythebayneon, lapulapu, order",11,2017-01-01
81,89,"law, enforce, enforcement, cdnpoli, privateprisons",1,2017-01-01
82,-1,"realitycheck, benswann, helping, millions, would",4,2018-01-01
83,0,"realjameswoods, buildthewall, defense, liberals, money",1705,2018-01-01
84,1,"bee, nbirensingh, huge, government, drugs",700,2018-01-01
85,6,"excuses, cbdivahealth, cannabiscommu, legalized, marijuanabased",1,2018-01-01
86,12,"assamsa, inmyfeelingschallengemzansi, sawineshowcase, nginothandomusicvideo, manurams",1,2018-01-01
87,13,"care, reform, should, wrote, krauthammer",4,2018-01-01
88,18,"prisons, racism, crime, drugwar, libertarianism",2,2018-01-01
89,39,"leaders, endorsing, rebuke, experts, group",150,2018-01-01
90,44,"extortion, kidnapping, jail, rossulbricht, keiserreport",1,2018-01-01
91,49,"sentenced, cocaine, valdezvillareal, cnnvalencia, years",134,2018-01-01
92,51,"johnson, marie, others, thousands, commuted",132,2018-01-01
93,66,"stupid, prisons, icy, racism, damned",1,2018-01-01
94,68,"editorial, outlets, apologize, york, waps",39,2018-01-01
95,73,"erratic, substance, dangerous, tlupick, alcohol",36,2018-01-01
96,74,"fatal, cry, knowthedangers, overdoses, death",32,2018-01-01
97,76,"drugwar, planecrash, smoking, fatal, fatale",1,2018-01-01
98,89,"privateprisons, employ, lrbitisnot, policies, demand",8,2018-01-01
99,6,"excuses, cbdivahealth, bidenactnow, cannabiscommu, legalized",1,2019-01-01
100,13,"care, reform, krauthammer, intellectual, wrote",1,2019-01-01
101,22,"witness, case, dog, missing, tacticaldoglive",179,2019-01-01
102,29,"crisis, border, state, federal, marijuana",163,2019-01-01
103,33,"inmates, freed, allot, revolt, sinaloa",160,2019-01-01
104,37,"addicted, morgan, convictions, heroin, felony",152,2019-01-01
105,43,"ilpjusapol, livepdfans, equiparacionya, qualifiedimmunity, militarized",1,2019-01-01
106,46,"org, anniversary, confounded, abolitionist, tendemands",1,2019-01-01
107,57,"antwerp, legalizeit2012, proof, yeson80, handgranaatscherven",4,2019-01-01
108,65,"officiallivepd, dogs, police, dog, sent",21,2019-01-01
109,67,"medicareforall, greennewdeal, patientrights, disabilityrights, indigenouspeoples",63,2019-01-01
110,68,"editorial, outlets, apologize, york, waps",18,2019-01-01
111,81,"nathaniroberts, stopped, suburban, risked, neighborhood",1,2019-01-01
112,89,"privateprisons, employ, lrbitisnot, policies, demand",1,2019-01-01
113,2,"sanction, carters, chinese, mexican, money",656,2020-01-01
114,6,"cbdivahealth, bidenactnow, keepyourpromise, cannabiscommu, stop",1,2020-01-01
115,7,"per, population, rate, crime, inmate",8,2020-01-01
116,10,"1920s, prohibition, govgaryjohnson, civil, slavery",1,2020-01-01
117,15,"learned, worry, experience, personal, system",203,2020-01-01
118,17,"written, letters, children, raffylerma, their",196,2020-01-01
119,20,"erikvoorhees, injustice, oppose, courage, meaningful",191,2020-01-01
120,22,"journalism, soniakatimota, authentic, mary, colonies",1,2020-01-01
121,24,"votegold, casualty, justice, noknockwarrants, sadly",176,2020-01-01
122,30,"practices, dilgphilippines, labankontradroga, recognizing, inconvenience",1,2020-01-01
123,34,"nasadlak, waronpoor, guerre, binihag, dust",1,2020-01-01
124,42,"executions, mandatory, sentences, drug, pardoned",145,2020-01-01
125,43,"qualifiedimmunity, militarized, policestate, supportthetro, dutertes",141,2020-01-01
126,46,"abolitionist, anniversary, confounded, org, tendemands",1,2020-01-01
127,60,"overdosecrisis, writers, harm, prevention, word",1,2020-01-01
128,65,"military, dog, police, nd, enlist",3,2020-01-01
129,67,"medicareforall, greennewdeal, tuitionfreecollege, patientrights, disabilityrights",1,2020-01-01
130,69,"courage, injustice, oppose, erikvoorhees, racism",53,2020-01-01
131,71,"end, waronpeople, survivor, healing, overcome",40,2020-01-01
132,78,"start, paedophiles, shaunattwood, starting, happen",5,2020-01-01
133,80,"drugpolicyorg, vicious, rachaellcook, 13thfilm, check",11,2020-01-01
134,81,"nathaniroberts, stopped, suburban, risked, neighborhood",15,2020-01-01
135,88,"opened, room, doorways, downstairs, needles",1,2020-01-01
136,-1,"regretted, inconvenience, vanished, peddlers, org",98,2021-01-01
137,2,"tetany, carters, chinese, sanction, mexican",9,2021-01-01
138,4,"dynamic, launched, campaign, assampolice, drug",331,2021-01-01
139,5,"teachers, laws, prisoners, school, hundreds",1,2021-01-01
140,6,"cbdivahealth, cannabiscommu, legalized, stop, war",262,2021-01-01
141,12,"assamsa, assamsaysnotodrugs, kepala, hair, narkotika",211,2021-01-01
142,19,"pitt, dead, braintree, died, officers",192,2021-01-01
143,25,"contraband, syrupy, recovered, tablets, drugs",167,2021-01-01
144,26,"de, guerracontralasdrogas, tendran, delincuenciaorganizada, la",5,2021-01-01
145,27,"struck, bonfire, pursuit, county, tacticaldoglive",163,2021-01-01
146,30,"inconvenience, peddlers, neighborhood, assampolice, assamsaysnotodrugs",162,2021-01-01
147,37,"heroin, worth, narcoterror, kashmirpolice, morgan",1,2021-01-01
148,43,"qualifiedimmunity, bad, policestate, supportthetro, do",1,2021-01-01
149,44,"kidnapping, extortion, jail, drugfreeassam, illicit",3,2021-01-01
150,45,"trafficking, parties, politicians, join, asssamsaysnotodrugs",1,2021-01-01
151,46,"tendemands, abolitionist, confounded, anniversary, org",142,2021-01-01
152,47,"encamp, millions, our, years, people",139,2021-01-01
153,50,"recovering, stab, fresno, wounds, bull",132,2021-01-01
154,54,"deputy, shootout, ripley, killed, tacticaldoglive",129,2021-01-01
155,55,"incarceration, repealqualifiedimmunity, provided, punjab, mandatoryminimums",3,2021-01-01
156,57,"shemwayne, wife, sure, yeson502, yeson80",1,2021-01-01
157,58,"racial, systemicracism, poverty, abolish, publicschool",1,2021-01-01
158,65,"lived, dog, police, officer, sheriff",56,2021-01-01
159,71,"end, survivor, healing, detroit, overcome",4,2021-01-01
160,80,"drugpolicyorg, vicious, rachaellcook, 13thfilm, check",5,2021-01-01
161,82,"regretted, inconvenience, peddlers, assampolice, drug",16,2021-01-01
162,84,"tendemands, abolitionist, anniversary, committed, with",12,2021-01-01
163,85,"tendemands, abolitionist, anniversary, committed, with",12,2021-01-01
164,86,"regretted, inconvenience, peddlers, assampolice, drug",12,2021-01-01
165,88,"social, digbaramulla, evils, kashmirpolice, abusing",5,2021-01-01
166,89,"woohoo, doughnuts, needed, weeks, job",1,2021-01-01
